ID	condition	text	text2	age	gender	hand	resp	RTs	resp_eff	w1	conc1	w2	conc2	sim	delta_conc	freq1	logfreq1	freq2	logfreq2	delta_freq	to_resp	count	distance	Sim	accuracy	trial	L1	L2	L_diff	subj
1	A	rasoio	stritolare	24	M	DX	l	1504	stritolare	stritolare	5,3	rasoio	8,7	0,231383	3,4	10	1	569	2,755112266	0,00559	stritolare	1	0,768617	0,231383	1	stritolarerasoio	6	10	4	1
1	A	onore	vino	24	M	DX	a	1155	onore	onore	3,3	vino	8,2	0,140964	4,9	12849	4,108869329	6498	3,812779707	0,06351	onore	1	0,859036	0,140964	1	onorevino	5	4	1	1
1	A	maniaco	ossessione	24	M	DX	l	1756	ossessione	ossessione	3	maniaco	7,95	0,335707	4,95	772	2,8876173	987	2,994317153	0,00215	ossessione	1	0,664293	0,335707	1	ossessionemaniaco	7	10	3	1
1	A	attico	modesto	24	M	DX	l	1499	modesto	modesto	3,95	attico	7,85	0,278889	3,9	533	2,726727209	494	2,693726949	0,00039	modesto	1	0,721111	0,278889	1	modestoattico	6	7	1	1
1	A	cavallo	arte	24	M	DX	l	1458	arte	arte	5,6	cavallo	8,4	0,075498	2,8	5407	3,73295637	7514	3,875871191	0,02107	arte	1	0,924502	0,075498	1	artecavallo	7	4	3	1
1	A	vaso	gloria	24	M	DX	l	1507	gloria	gloria	3,6	vaso	8,8	0,08746	5,2	3320	3,521138084	1076	3,031812271	0,02244	gloria	1	0,91254	0,08746	1	gloriavaso	4	6	2	1
1	A	magnifico	zanzara	24	M	DX	a	925	magnifico	magnifico	3,2	zanzara	8,25	0,022077	5,05	4284	3,631849462	151	2,178976947	0,04133	magnifico	1	0,977923	0,022077	1	magnificozanzara	9	7	2	1
1	A	infuriato	forchetta	24	M	DX	a	1340	infuriato	infuriato	4,55	forchetta	8,4	0,159282	3,85	240	2,380211242	394	2,595496222	0,00154	infuriato	1	0,840718	0,159282	1	infuriatoforchetta	9	9	0	1
1	A	abito	solenne	24	M	DX	l	1216	solenne	solenne	3,7	abito	8,6	0,189552	4,9	241	2,382017043	2642	3,421932813	0,02401	solenne	1	0,810448	0,189552	1	solenneabito	5	7	2	1
1	A	meraviglia	cornice	24	M	DX	a	2211	meraviglia	meraviglia	3,6	cornice	8,05	0,226304	4,45	1939	3,287577809	226	2,354108439	0,01713	meraviglia	1	0,773696	0,226304	1	meravigliacornice	10	7	3	1
1	A	tavolo	pressione	24	M	DX	l	1907	pressione	pressione	5,15	tavolo	8,6	0,060985	3,45	6125	3,787106093	6875	3,837272703	0,0075	pressione	1	0,939015	0,060985	1	pressionetavolo	6	9	3	1
1	A	gattino	dettaglio	24	M	DX	l	2441	dettaglio	dettaglio	4,15	gattino	8,8	0,042358	4,65	1484	3,171433901	445	2,648360011	0,01039	dettaglio	1	0,957642	0,042358	1	dettagliogattino	7	9	2	1
1	A	finestra	triste	24	M	DX	l	923	triste	triste	5,15	finestra	8,45	0,146066	3,3	7074	3,849665055	5923	3,772541733	0,01151	triste	1	0,853934	0,146066	1	tristefinestra	8	6	2	1
1	A	brutale	miele	24	M	DX	a	1124	brutale	brutale	3,6	miele	8,2	0,129025	4,6	680	2,832508913	2064	3,314709693	0,01384	brutale	1	0,870975	0,129025	1	brutalemiele	7	5	2	1
1	A	deforme	tronco	24	M	DX	a	1869	deforme	deforme	5,2	tronco	8,65	0,318294	3,45	119	2,075546961	452	2,655138435	0,00333	deforme	1	0,681706	0,318294	1	deformetronco	7	6	1	1
1	A	fastidio	naso	24	M	DX	a	2388	fastidio	fastidio	3,4	naso	8,3	0,124964	4,9	3376	3,528402438	5593	3,747644819	0,02217	fastidio	1	0,875036	0,124964	1	fastidionaso	8	4	4	1
1	A	scrivania	pensieroso	24	M	DX	l	1887	pensieroso	pensieroso	4,5	scrivania	8,8	0,284274	4,3	61	1,785329835	3126	3,494988974	0,03065	pensieroso	1	0,715726	0,284274	1	pensierososcrivania	9	10	1	1
1	A	fetido	calza	24	M	DX	a	1369	fetido	fetido	4	calza	8,55	0,175625	4,55	50	1,698970004	233	2,367355921	0,00183	fetido	1	0,824375	0,175625	1	fetidocalza	6	5	1	1
1	A	ispirato	geranio	24	M	DX	a	1507	ispirato	ispirato	3,75	geranio	8,05	0,011908	4,3	680	2,832508913	12	1,079181246	0,00668	ispirato	1	0,988092	0,011908	1	ispiratogeranio	8	7	1	1
1	A	diavolo	prigione	24	M	DX	a	1875	diavolo	diavolo	4	prigione	7,4	0,195171	3,4	31905	4,503858749	13100	4,117271296	0,18805	diavolo	1	0,804829	0,195171	1	diavoloprigione	7	8	1	1
1	A	annoiato	mestolo	24	M	DX	a	1121	annoiato	annoiato	5,05	mestolo	7,9	0,162662	2,85	373	2,571708832	63	1,799340549	0,0031	annoiato	1	0,837338	0,162662	1	annoiatomestolo	8	7	1	1
1	A	appetitoso	pizza	24	M	DX	a	1177	appetitoso	appetitoso	5,3	pizza	9	0,359762	3,7	102	2,008600172	2889	3,460747542	0,02787	appetitoso	1	0,640238	0,359762	1	appetitosopizza	10	5	5	1
1	A	coltello	demonio	24	M	DX	l	948	demonio	demonio	2,65	coltello	7,75	0,238429	5,1	957	2,980911938	4712	3,673205282	0,03755	demonio	1	0,761571	0,238429	1	demoniocoltello	8	7	1	1
1	A	mobilita	gomma	24	M	DX	a	1301	mobilita	mobilita	4,85	gomma	8,7	0,308539	3,85	80	1,903089987	1768	3,247482261	0,01688	mobilita	1	0,746394	0,253606	1	mobilitagomma	8	5	3	1
1	A	freddo	cappotto	24	M	DX	a	2438	freddo	freddo	5,75	cappotto	8,75	0,385159	3	7828	3,893650817	1543	3,188365926	0,06285	freddo	1	0,614841	0,385159	1	freddocappotto	6	8	2	1
1	A	riparato	tenda	24	M	DX	a	1106	riparato	riparato	5	tenda	8,4	0,218453	3,4	465	2,667452953	1534	3,18582536	0,01069	riparato	1	0,781547	0,218453	1	riparatotenda	8	5	3	1
1	A	corrotto	gonna	24	M	DX	a	1253	corrotto	corrotto	4,3	gonna	8,6	0,026958	4,3	1026	3,011147361	1239	3,093071306	0,00213	corrotto	1	0,973042	0,026958	1	corrottogonna	8	5	3	1
1	A	miracolo	applauso	24	M	DX	a	1462	miracolo	miracolo	3,05	applauso	7,4	0,269161	4,35	2969	3,472610198	920	2,963787827	0,02049	miracolo	1	0,730839	0,269161	1	miracoloapplauso	8	8	0	1
1	A	giardino	salute	24	M	DX	l	2620	salute	salute	4,55	giardino	8,4	0,025304	3,85	7234	3,859378504	3741	3,572987708	0,03493	salute	1	0,974696	0,025304	1	salutegiardino	8	6	2	1
